,model_name,provider,target_class_id,target_class_name,target_class_name_clean,calibration_method,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece,ood_accuracy,ood_precision,ood_recall,ood_f1,ood_brier_score,ood_sm_ece,ood_binned_ece
21,ViT-B-32-quickgelu,openai,7,forest-broadleaf,broadleaf forest,sigmoid,openai--ViT-B-32-quickgelu--07--forest-broadleaf--sigmoid,0.9167217448777264,0.8875205254515599,0.8586179507545671,0.8728300363342754,0.06311701595929825,0.010799345416646244,0.010331311087639792,0.9465449804432855,0.8745519713261649,0.976,0.9224952741020794,0.03859922608297823,0.05356761353030777,0.0570059230398319
22,ViT-B-32-quickgelu,openai,7,forest-broadleaf,broadleaf forest,isotonic,openai--ViT-B-32-quickgelu--07--forest-broadleaf--isotonic,0.9155320555188368,0.9002982530890499,0.8391580619539317,0.8686536485097636,0.0632607495208312,0.008741288876913018,0.006717987550128318,0.9504563233376793,0.8925925925925926,0.964,0.926923076923077,0.0374160318570821,0.049791362085749365,0.051744542178130834
23,ViT-B-32-quickgelu,openai,7,forest-broadleaf,broadleaf forest,sba,openai--ViT-B-32-quickgelu--07--forest-broadleaf--sba,0.9259748843357568,0.8748085758039816,0.9074662430500398,0.8908382066276803,0.05704953606801458,0.03237905216803327,0.033824119320809004,0.9413298565840938,0.852233676975945,0.992,0.9168207024029574,0.04340253049026854,0.0745744635593495,0.0794964821395559
24,ViT-B-32-quickgelu,openai,8,industrial_area,industrial area,sigmoid,openai--ViT-B-32-quickgelu--08--industrial_area--sigmoid,0.8101501262123024,0.7467771639042358,0.6485405837664934,0.6942007275839932,0.13301771448124336,0.01554249136445816,0.014055217880734876,0.6810490693739425,0.508519003931848,0.9948717948717949,0.6730268863833477,0.20598797685341708,0.28173299591314394,0.30417684130780337
25,ViT-B-32-quickgelu,openai,8,industrial_area,industrial area,isotonic,openai--ViT-B-32-quickgelu--08--industrial_area--isotonic,0.8118772419290554,0.7584564078132444,0.6365453818472611,0.6921739130434783,0.1332188331629414,0.01654395894596405,0.015102858865427657,0.6971235194585449,0.521505376344086,0.9948717948717949,0.6843033509700176,0.2063625874686714,0.2821440702462851,0.3050966636898617
26,ViT-B-32-quickgelu,openai,8,industrial_area,industrial area,sba,openai--ViT-B-32-quickgelu--08--industrial_area--sba,0.8468181214295204,0.8152478952291862,0.696921231507397,0.7514550549687433,0.11236160045527845,0.06287725322921993,0.06597678324326321,0.7064297800338409,0.529331514324693,0.9948717948717949,0.691006233303651,0.19153469517541002,0.2546830860273262,0.268051661298864
27,ViT-B-32-quickgelu,openai,9,field-cultivated,cultivated field,sigmoid,openai--ViT-B-32-quickgelu--09--field-cultivated--sigmoid,0.8871657754010696,0.8459915611814346,0.8071658615136876,0.8261227853316853,0.08233969025485284,0.015572823812719074,0.014316205573191973,0.9023255813953488,0.7848837209302325,0.9642857142857143,0.8653846153846154,0.08462866679011986,0.09006377393231857,0.10308280016260417
28,ViT-B-32-quickgelu,openai,9,field-cultivated,cultivated field,isotonic,openai--ViT-B-32-quickgelu--09--field-cultivated--isotonic,0.8885026737967915,0.8647214854111406,0.7874396135265701,0.8242730720606827,0.08209780754346516,0.010618050115596125,0.008878871351654796,0.9081395348837209,0.8,0.9571428571428572,0.8715447154471545,0.083287891392336,0.09040584330560104,0.10098052192208638
29,ViT-B-32-quickgelu,openai,9,field-cultivated,cultivated field,sba,openai--ViT-B-32-quickgelu--09--field-cultivated--sba,0.9137700534759359,0.8685370741482966,0.8723832528180354,0.8704559148423379,0.07106029874986387,0.046208808147298816,0.05082407178893252,0.872093023255814,0.7225130890052356,0.9857142857142858,0.8338368580060423,0.09714471104839213,0.1393301830241962,0.15647441055354944
30,ViT-B-32-quickgelu,openai,10,residential_neighborhood,residential neighborhood,sigmoid,openai--ViT-B-32-quickgelu--10--residential_neighborhood--sigmoid,0.8758666666666667,0.8316582914572864,0.789662027833002,0.810116255353865,0.08987801272596092,0.013662336777920694,0.012703018522169198,0.8342792281498297,0.6651376146788991,1.0,0.7988980716253443,0.11808049009726958,0.20364531405499786,0.2064834322627617
31,ViT-B-32-quickgelu,openai,10,residential_neighborhood,residential neighborhood,isotonic,openai--ViT-B-32-quickgelu--10--residential_neighborhood--isotonic,0.8736,0.8201879852881079,0.7980119284294235,0.8089480048367593,0.0902482245831255,0.015585745458294172,0.015569749567009664,0.8274687854710556,0.6561085972850679,1.0,0.7923497267759563,0.12046189358487268,0.2031611232940317,0.20597723153896555
32,ViT-B-32-quickgelu,openai,10,residential_neighborhood,residential neighborhood,sba,openai--ViT-B-32-quickgelu--10--residential_neighborhood--sba,0.906,0.8705978705978706,0.8453280318091452,0.8577768811781319,0.07158481126532328,0.04828579598308568,0.05066255923651625,0.8388195232690124,0.6737089201877934,0.9896551724137931,0.8016759776536313,0.10933331977573475,0.1775186622333184,0.18561970458337435
33,ViT-B-32-quickgelu,openai,11,mountain,mountain,sigmoid,openai--ViT-B-32-quickgelu--11--mountain--sigmoid,0.8763419483101391,0.8332617103566824,0.7805958132045089,0.8060694242361256,0.08734378701281786,0.016062624077318025,0.014992310030615673,0.9194630872483222,0.8137254901960784,0.9764705882352941,0.8877005347593583,0.05826424576080889,0.06345794005441541,0.06891432800307898
34,ViT-B-32-quickgelu,openai,11,mountain,mountain,isotonic,openai--ViT-B-32-quickgelu--11--mountain--isotonic,0.8779324055666003,0.8276729559748428,0.7946859903381642,0.8108441158348737,0.08736155912548285,0.01481811320032193,0.01265736527335469,0.9204218600191755,0.8126520681265207,0.9823529411764705,0.8894806924101198,0.06052365879314049,0.06734501439649698,0.07192997830854737
35,ViT-B-32-quickgelu,openai,11,mountain,mountain,sba,openai--ViT-B-32-quickgelu--11--mountain--sba,0.9049701789264414,0.8667496886674969,0.8405797101449275,0.8534641324340895,0.06929671091009589,0.040886592212316025,0.041773484818980834,0.9367209971236817,0.8494897959183674,0.9794117647058823,0.9098360655737705,0.05140396104997215,0.08585991921825478,0.09290200367852089
36,ViT-B-32-quickgelu,openai,12,park,park,sigmoid,openai--ViT-B-32-quickgelu--12--park--sigmoid,0.7278145695364239,0.7012867647058824,0.30605695948656236,0.42613795029321416,0.1969800641126863,0.050239998475389985,0.05591039701556133,0.8849056603773585,0.8584905660377359,0.78,0.8173652694610778,0.14796065392100943,0.15395957304993574,0.23331079518176476
