,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
48,ViT-B-16-SigLIP,webli,sigmoid,16,train_station-platform,platform train station,0,airfield,airfield,xfer,eval--00--airfield--xfer--16--train_station-platform--indomain,0.8974666666666666,0.9038638454461821,0.7782178217821782,0.8363481591828048,0.07335589862494862,0.0521420737049095,0.05473967390143461
49,ViT-B-16-SigLIP,webli,isotonic,16,train_station-platform,platform train station,0,airfield,airfield,xfer,eval--00--airfield--xfer--16--train_station-platform--indomain,0.9113333333333333,0.8571428571428571,0.883960396039604,0.870345096510041,0.0707003507937791,0.047356313921725644,0.04946864060644681
50,ViT-B-16-SigLIP,webli,siglip,16,train_station-platform,platform train station,0,airfield,airfield,xfer,eval--00--airfield--xfer--16--train_station-platform--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
51,ViT-B-16-SigLIP,webli,sigmoid,17,river,river,0,airfield,airfield,xfer,eval--00--airfield--xfer--17--river--indomain,0.8677333333333334,0.9308600337268128,0.6558415841584159,0.7695167286245354,0.09017343210298562,0.09250800770257825,0.10116804416987943
52,ViT-B-16-SigLIP,webli,isotonic,17,river,river,0,airfield,airfield,xfer,eval--00--airfield--xfer--17--river--indomain,0.886,0.9204431017119838,0.7239603960396039,0.810463311904234,0.08396991509977748,0.08251270996489245,0.08443168802859727
53,ViT-B-16-SigLIP,webli,siglip,17,river,river,0,airfield,airfield,xfer,eval--00--airfield--xfer--17--river--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
54,ViT-B-16-SigLIP,webli,sigmoid,18,schoolhouse,schoolhouse,0,airfield,airfield,xfer,eval--00--airfield--xfer--18--schoolhouse--indomain,0.8866666666666667,0.9197994987468672,0.7267326732673267,0.8119469026548672,0.08077137364261275,0.07090164326337473,0.07604463682998602
55,ViT-B-16-SigLIP,webli,isotonic,18,schoolhouse,schoolhouse,0,airfield,airfield,xfer,eval--00--airfield--xfer--18--schoolhouse--indomain,0.8990666666666667,0.9014532243415078,0.7861386138613862,0.8398561455468585,0.08080818299971737,0.07054454153602738,0.07304271192376813
56,ViT-B-16-SigLIP,webli,siglip,18,schoolhouse,schoolhouse,0,airfield,airfield,xfer,eval--00--airfield--xfer--18--schoolhouse--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
57,ViT-B-16-SigLIP,webli,sigmoid,19,viaduct,viaduct,0,airfield,airfield,xfer,eval--00--airfield--xfer--19--viaduct--indomain,0.7817333333333333,0.9457831325301205,0.37306930693069307,0.5350752627094575,0.13818800249300706,0.1672321681726445,0.16969905145689917
58,ViT-B-16-SigLIP,webli,isotonic,19,viaduct,viaduct,0,airfield,airfield,xfer,eval--00--airfield--xfer--19--viaduct--indomain,0.8052,0.9455611390284757,0.44712871287128714,0.6071524603388008,0.1337315394359793,0.16456406567426157,0.16753424947558282
59,ViT-B-16-SigLIP,webli,siglip,19,viaduct,viaduct,0,airfield,airfield,xfer,eval--00--airfield--xfer--19--viaduct--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
60,ViT-B-16-SigLIP,webli,sigmoid,0,airfield,airfield,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--00--airfield--indomain,0.9762286324786325,0.9813587406793703,0.9468425259792166,0.9637917005695688,0.01936168115382356,0.0189837169687722,0.01837001168702043
61,ViT-B-16-SigLIP,webli,isotonic,0,airfield,airfield,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--00--airfield--indomain,0.9767628205128205,0.9798021434460017,0.9500399680255796,0.9646915584415584,0.019044139417632576,0.024735780709333247,0.02472418152500466
62,ViT-B-16-SigLIP,webli,siglip,0,airfield,airfield,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--00--airfield--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
63,ViT-B-16-SigLIP,webli,sigmoid,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--01--stadium-baseball--indomain,0.9814369658119658,0.9739269955876454,0.9704236610711431,0.9721721721721722,0.016511401113338067,0.012105683691029797,0.009049057894399515
64,ViT-B-16-SigLIP,webli,isotonic,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--01--stadium-baseball--indomain,0.9797008547008547,0.9579111457521434,0.982414068745004,0.9700078926598263,0.016136913147383206,0.005811983450045824,0.004729628583200427
65,ViT-B-16-SigLIP,webli,siglip,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--01--stadium-baseball--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
66,ViT-B-16-SigLIP,webli,sigmoid,2,beach,beach,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--02--beach--indomain,0.969017094017094,0.9838022165387894,0.9224620303756994,0.9521452145214522,0.0224858844053989,0.025662617726990265,0.025288920999529736
67,ViT-B-16-SigLIP,webli,isotonic,2,beach,beach,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--02--beach--indomain,0.967948717948718,0.9837467921300257,0.9192645883293366,0.9504132231404959,0.022581911129247102,0.025125398628632875,0.025127431533432033
68,ViT-B-16-SigLIP,webli,siglip,2,beach,beach,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--02--beach--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
69,ViT-B-16-SigLIP,webli,sigmoid,3,bridge,bridge,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--03--bridge--indomain,0.9468482905982906,0.9906716417910447,0.8489208633093526,0.9143349117520447,0.03678695910674094,0.052561727360345686,0.052896812569141714
70,ViT-B-16-SigLIP,webli,isotonic,3,bridge,bridge,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--03--bridge--indomain,0.952323717948718,0.9895025102692835,0.8665067945643485,0.9239292563392286,0.032299498838404724,0.04795745906168138,0.049252805675670475
71,ViT-B-16-SigLIP,webli,siglip,3,bridge,bridge,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--03--bridge--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
72,ViT-B-16-SigLIP,webli,sigmoid,4,church-outdoor,outdoor church,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--04--church-outdoor--indomain,0.9805021367521367,0.9761519805982215,0.9652278177458034,0.9706591639871383,0.02324980845106341,0.057314142841911504,0.05794850663041249
73,ViT-B-16-SigLIP,webli,isotonic,4,church-outdoor,outdoor church,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--04--church-outdoor--indomain,0.9815705128205128,0.9705414012738853,0.9744204636290967,0.9724770642201835,0.02837936314330543,0.07915048670406173,0.0803935079101292
74,ViT-B-16-SigLIP,webli,siglip,4,church-outdoor,outdoor church,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--04--church-outdoor--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
75,ViT-B-16-SigLIP,webli,sigmoid,5,desert-sand,sand desert,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--05--desert-sand--indomain,0.9791666666666666,0.9776058631921825,0.9596322941646682,0.9685356998789835,0.017210956548708918,0.013451221404441207,0.011131168271603816
76,ViT-B-16-SigLIP,webli,isotonic,5,desert-sand,sand desert,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--05--desert-sand--indomain,0.9810363247863247,0.9716227018385292,0.9716227018385292,0.9716227018385292,0.01710271819576199,0.013585863058777474,0.012186375803878005
77,ViT-B-16-SigLIP,webli,siglip,5,desert-sand,sand desert,1,stadium-baseball,baseball stadium,xfer,eval--01--stadium-baseball--xfer--05--desert-sand--indomain,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
