,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
10,ViT-B-32-quickgelu,openai,isotonic,3,bridge,bridge,3,bridge,bridge,indomain,eval--03--bridge--inclass--indomain--isotonic,0.8904490661014703,0.8213606993538578,0.8582208101667991,0.8393862885997281,0.08271358664374262,0.012808294349555526,0.012938998400630692
11,ViT-B-32-quickgelu,openai,SBA,3,bridge,bridge,3,bridge,bridge,indomain,eval--03--bridge--inclass--indomain--SBA,0.904225725261624,0.8469269424043293,0.8701350277998412,0.8583741429970617,0.07523133555821973,0.03475785582316115,0.035502911000155075
12,ViT-B-32-quickgelu,openai,sigmoid,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,indomain,eval--04--church-outdoor--inclass--indomain--sigmoid,0.8229083132852179,0.7639257294429708,0.6859865025803891,0.7228613260824095,0.12688881684128958,0.03522277980700912,0.03701640472344273
13,ViT-B-32-quickgelu,openai,isotonic,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,indomain,eval--04--church-outdoor--inclass--indomain--isotonic,0.8283881315156375,0.7359572029040886,0.7645891226677253,0.75,0.12485349351382842,0.014699760573275733,0.013802915988106602
14,ViT-B-32-quickgelu,openai,SBA,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,indomain,eval--04--church-outdoor--inclass--indomain--SBA,0.8683507083667469,0.823902027027027,0.7745136959110758,0.7984448536934725,0.10603789998795546,0.07852280308250827,0.08602420800149917
15,ViT-B-32-quickgelu,openai,sigmoid,5,desert-sand,sand desert,5,desert-sand,sand desert,indomain,eval--05--desert-sand--inclass--indomain--sigmoid,0.9510340226817878,0.9323338735818476,0.9200319872051179,0.9261420809015899,0.038011437831484654,0.011687252069256329,0.009468817912654083
16,ViT-B-32-quickgelu,openai,isotonic,5,desert-sand,sand desert,5,desert-sand,sand desert,indomain,eval--05--desert-sand--inclass--indomain--isotonic,0.9490326884589726,0.9361877315767806,0.9092363054778089,0.9225152129817444,0.038159457291815996,0.01047121568080128,0.010329977927010027
17,ViT-B-32-quickgelu,openai,SBA,5,desert-sand,sand desert,5,desert-sand,sand desert,indomain,eval--05--desert-sand--inclass--indomain--SBA,0.961707805203469,0.9317472698907956,0.955217912834866,0.9433366238894373,0.029566725029870143,0.021549808942149466,0.02252573456368322
18,ViT-B-32-quickgelu,openai,sigmoid,6,farm,farm,6,farm,farm,indomain,eval--06--farm--inclass--indomain--sigmoid,0.8170099667774087,0.7445579742336739,0.6763518966908797,0.7088179319094946,0.1287187513079768,0.01807890830616074,0.017681491593474468
19,ViT-B-32-quickgelu,openai,isotonic,6,farm,farm,6,farm,farm,indomain,eval--06--farm--inclass--indomain--isotonic,0.8176744186046512,0.7185770750988142,0.7336561743341404,0.7260383386581469,0.1290258696990652,0.016367854501538114,0.01622152624845944
20,ViT-B-32-quickgelu,openai,SBA,6,farm,farm,6,farm,farm,indomain,eval--06--farm--inclass--indomain--SBA,0.8352159468438538,0.758563074352548,0.7328490718321227,0.7454844006568144,0.11924104469160508,0.04719563362115502,0.051032292065752105
21,ViT-B-32-quickgelu,openai,sigmoid,7,forest-broadleaf,broadleaf forest,7,forest-broadleaf,broadleaf forest,indomain,eval--07--forest-broadleaf--inclass--indomain--sigmoid,0.9152337452982268,0.8887036265110463,0.8541666666666666,0.8710929519918283,0.06486618696373032,0.013444051852650286,0.012823004240552896
