,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
17,ViT-B-32-quickgelu,openai,SBA,5,desert-sand,sand desert,5,desert-sand,sand desert,ood,eval--05--desert-sand--inclass--ood--SBA,0.9036427732079906,0.7853403141361257,1.0,0.8797653958944281,0.0770144244818904,0.11673979837518642,0.11648598409965898
18,ViT-B-32-quickgelu,openai,sigmoid,6,farm,farm,6,farm,farm,ood,eval--06--farm--inclass--ood--sigmoid,0.9046296296296297,0.7947019867549668,0.972972972972973,0.8748481166464156,0.08304262954478694,0.12790928184611722,0.147195748135413
19,ViT-B-32-quickgelu,openai,isotonic,6,farm,farm,6,farm,farm,ood,eval--06--farm--inclass--ood--isotonic,0.8870370370370371,0.7594142259414226,0.981081081081081,0.8561320754716981,0.08784271256789682,0.12504501248773545,0.15457802659646538
20,ViT-B-32-quickgelu,openai,SBA,6,farm,farm,6,farm,farm,ood,eval--06--farm--inclass--ood--SBA,0.899074074074074,0.7932584269662921,0.9540540540540541,0.8662576687116564,0.08790867763118529,0.12985368337789488,0.15770466267993605
21,ViT-B-32-quickgelu,openai,sigmoid,7,forest-broadleaf,broadleaf forest,7,forest-broadleaf,broadleaf forest,ood,eval--07--forest-broadleaf--inclass--ood--sigmoid,0.9357923497267759,0.856140350877193,0.976,0.9121495327102803,0.04642668792527841,0.05419548687298106,0.05509749494996838
22,ViT-B-32-quickgelu,openai,isotonic,7,forest-broadleaf,broadleaf forest,7,forest-broadleaf,broadleaf forest,ood,eval--07--forest-broadleaf--inclass--ood--isotonic,0.9357923497267759,0.856140350877193,0.976,0.9121495327102803,0.04646736991726228,0.053244559422315124,0.055617891100319256
23,ViT-B-32-quickgelu,openai,SBA,7,forest-broadleaf,broadleaf forest,7,forest-broadleaf,broadleaf forest,ood,eval--07--forest-broadleaf--inclass--ood--SBA,0.9221311475409836,0.8143322475570033,1.0,0.8976660682226212,0.0550059837656812,0.08503073506825555,0.09492357151902184
24,ViT-B-32-quickgelu,openai,sigmoid,8,industrial_area,industrial area,8,industrial_area,industrial area,ood,eval--08--industrial_area--inclass--ood--sigmoid,0.6497031382527566,0.48564294631710364,0.9974358974358974,0.653232577665827,0.2262745224467167,0.2956958125981299,0.3244646265091686
25,ViT-B-32-quickgelu,openai,isotonic,8,industrial_area,industrial area,8,industrial_area,industrial area,ood,eval--08--industrial_area--inclass--ood--isotonic,0.6632739609838847,0.4955300127713921,0.9948717948717949,0.6615515771526002,0.22572060063454485,0.29499064311738116,0.32547951187303353
26,ViT-B-32-quickgelu,openai,SBA,8,industrial_area,industrial area,8,industrial_area,industrial area,ood,eval--08--industrial_area--inclass--ood--SBA,0.6581849024597116,0.4917825537294564,0.9974358974358974,0.6587637595258256,0.21330200399914742,0.27147890039769257,0.2924601450827892
27,ViT-B-32-quickgelu,openai,sigmoid,9,field-cultivated,cultivated field,9,field-cultivated,cultivated field,ood,eval--09--field-cultivated--inclass--ood--sigmoid,0.8882063882063882,0.7692307692307693,0.9642857142857143,0.8557844690966719,0.0921383104776442,0.09917348312330056,0.10893222497872258
28,ViT-B-32-quickgelu,openai,isotonic,9,field-cultivated,cultivated field,9,field-cultivated,cultivated field,ood,eval--09--field-cultivated--inclass--ood--isotonic,0.8869778869778869,0.7655367231638418,0.9678571428571429,0.8548895899053628,0.0915666163554569,0.10051835907466256,0.10144217009455908
29,ViT-B-32-quickgelu,openai,SBA,9,field-cultivated,cultivated field,9,field-cultivated,cultivated field,ood,eval--09--field-cultivated--inclass--ood--SBA,0.8611793611793612,0.7146529562982005,0.9928571428571429,0.8310911808669657,0.11131778656376155,0.15210594305398156,0.15212338105420736
30,ViT-B-32-quickgelu,openai,sigmoid,10,residential_neighborhood,residential neighborhood,10,residential_neighborhood,residential neighborhood,ood,eval--10--residential_neighborhood--inclass--ood--sigmoid,0.8515535097813579,0.6921241050119332,1.0,0.8180535966149506,0.11119596084418366,0.1966327285828364,0.19882721485172467
31,ViT-B-32-quickgelu,openai,isotonic,10,residential_neighborhood,residential neighborhood,10,residential_neighborhood,residential neighborhood,ood,eval--10--residential_neighborhood--inclass--ood--isotonic,0.859608745684695,0.7038834951456311,1.0,0.8262108262108262,0.11414591906838337,0.19626616906542083,0.19894382286381718
32,ViT-B-32-quickgelu,openai,SBA,10,residential_neighborhood,residential neighborhood,10,residential_neighborhood,residential neighborhood,ood,eval--10--residential_neighborhood--inclass--ood--SBA,0.8768699654775605,0.7340153452685422,0.9896551724137931,0.8428781204111601,0.09530982613172749,0.16482526250625726,0.165252195890367
33,ViT-B-32-quickgelu,openai,sigmoid,11,mountain,mountain,11,mountain,mountain,ood,eval--11--mountain--inclass--ood--sigmoid,0.9272183449651047,0.836272040302267,0.9764705882352941,0.9009497964721845,0.050249770436626234,0.06221230526225543,0.06661039394380364
34,ViT-B-32-quickgelu,openai,isotonic,11,mountain,mountain,11,mountain,mountain,ood,eval--11--mountain--inclass--ood--isotonic,0.9262213359920239,0.8308457711442786,0.9823529411764705,0.9002695417789758,0.05127603455326844,0.061904948813724034,0.0645263196049947
35,ViT-B-32-quickgelu,openai,SBA,11,mountain,mountain,11,mountain,mountain,ood,eval--11--mountain--inclass--ood--SBA,0.942173479561316,0.8634020618556701,0.9852941176470589,0.9203296703296703,0.049402108788445254,0.0915005883666512,0.09666460006291665
36,ViT-B-32-quickgelu,openai,sigmoid,12,park,park,12,park,park,ood,eval--12--park--inclass--ood--sigmoid,0.8726053639846744,0.8297872340425532,0.78,0.8041237113402062,0.1481538075075436,0.1511775572283468,0.2183306578018656
37,ViT-B-32-quickgelu,openai,isotonic,12,park,park,12,park,park,ood,eval--12--park--inclass--ood--isotonic,0.8697318007662835,0.8496732026143791,0.7428571428571429,0.7926829268292683,0.12338501913394669,0.14572465778939628,0.16567372260936375
